rank,word,frequency,cum_pct
199,生きる,0.00060739,50.4545
200,湧く,0.00060601,50.5151
201,折る,0.00060399,50.5755
202,どうぞ,0.00060158,50.6357
203,やる,0.00059313,50.695
204,お母さん,0.0005914,50.7541
205,魔,0.00058774,50.8129
206,酔う,0.00058709,50.8716
207,より,0.0005841,50.93
208,声,0.00058404,50.9884
209,早く,0.00058251,51.0467
210,そうです,0.00057955,51.1046
211,ただ,0.00057899,51.1625
212,んで,0.00057653,51.2202
213,ちゃんと,0.00057576,51.2777
214,にする,0.00057433,51.3352
215,驢,0.0005738,51.3926
216,それが,0.00056858,51.4494
217,お父さん,0.00056814,51.5062
218,使う,0.00056579,51.5628
219,よく,0.00056283,51.6191
220,お願いします,0.00055966,51.6751
221,時間,0.00055951,51.731
222,こっち,0.00055854,51.7869
223,失礼,0.00055848,51.8427
224,事件,0.00055725,51.8984
225,諸,0.00055376,51.9538
226,欲しい,0.00055288,52.0091
227,目,0.0005415,52.0633
228,それで,0.0005393,52.1172
229,多い,0.00053378,52.1706
230,やっぱり,0.00053319,52.2239
231,でしょう,0.00052958,52.2768
232,やつ,0.00052917,52.3298
233,同じ,0.0005273,52.3825
234,澄む,0.0005248,52.435
235,人間,0.00052333,52.4873
236,あい,0.00052237,52.5395
237,ありがとうございます,0.00052081,52.5916
238,頼む,0.00051779,52.6434
239,分,0.00051301,52.6947
240,ずっと,0.00050872,52.7456
241,ないです,0.00050652,52.7962
242,終わる,0.00050377,52.8466
243,跡,0.00050371,52.897
244,婬,0.0005025,52.9472
245,よし,0.00049998,52.9972
246,個個に,0.00049725,53.0469
247,顔,0.00049358,53.0963
248,前に,0.00049297,53.1456
249,じゃん,0.00049291,53.1949
250,嘘,0.00048866,53.2438
251,彼,0.00048578,53.2923
252,だろう,0.00048202,53.3405
253,無理,0.00047566,53.3881
254,社長,0.0004702,53.4351
255,どういう,0.00046885,53.482
256,ところ,0.00046853,53.5289
257,戻る,0.00046741,53.5756
258,になる,0.00046471,53.6221
259,結婚,0.0004646,53.6685
260,何も,0.00046307,53.7148
261,背,0.0004619,53.761
262,本当,0.00045615,53.8066
263,確か,0.00045315,53.852
264,子供,0.00045019,53.897
265,馬鹿,0.00044984,53.942
266,一,0.00044981,53.9869
267,ありません,0.0004489,54.0318
268,そして,0.0004484,54.0767
269,犯人,0.00044729,54.1214
270,あいつ,0.00044553,54.166
271,いえ,0.0004433,54.2103
272,もっと,0.00044198,54.2545
273,やった,0.00044148,54.2986
274,痛い,0.00043743,54.3424
275,一同,0.0004374,54.3861
276,溜める,0.0004374,54.4298
277,無くなる,0.00043523,54.4734
278,巣,0.00043508,54.5169
279,明日,0.00043508,54.5604
280,感じる,0.00043285,54.6037
281,すごい,0.00043267,54.6469
282,飲む,0.0004315,54.6901
283,警察,0.00043118,54.7332
284,得る,0.0004303,54.7762
285,医院,0.00043003,54.8192
286,なかった,0.00042986,54.8622
287,日,0.00042948,54.9052
288,ママ,0.00042848,54.948
289,ですが,0.00042695,54.9907
290,会社,0.00042516,55.0332
291,のです,0.00042431,55.0757
292,あります,0.00042349,55.118
293,こちら,0.00042299,55.1603
294,ことは,0.00042217,55.2025
295,力,0.00042208,55.2447
296,たの,0.0004205,55.2868
297,教える,0.00041959,55.3287
298,訓,0.00041953,55.3707
299,茣蓙,0.000418,55.4125
300,しかし,0.00041601,55.4541
301,女性,0.00041454,55.4956
302,度,0.00041437,55.537
303,書く,0.00041152,55.5781
304,じゃないか,0.00041079,55.6192
305,全て,0.00041055,55.6603
306,金,0.00040917,55.7012
307,ウッ,0.00040718,55.7419
308,信じる,0.0004058,55.7825
309,見える,0.00040568,55.8231
310,心配,0.00040424,55.8635
311,必要,0.00040225,55.9037
312,積もる,0.00040017,55.9437
313,みた,0.00039999,55.9837
314,著,0.00039964,56.0237
315,のために,0.00039609,56.0633
316,あって,0.00039565,56.1029
317,どんな,0.00039497,56.1424
318,かね,0.00039351,56.1817
319,万,0.00039245,56.221
320,できる,0.00039221,56.2602
321,わよ,0.00039207,56.2994
322,フッ,0.00039133,56.3385
323,店,0.00038843,56.3774
324,全部,0.00038773,56.4161
325,ゆって,0.0003872,56.4549
326,はあ,0.0003855,56.4934
327,過ぎる,0.00038438,56.5318
328,ぜ,0.00038347,56.5702
329,気,0.00038127,56.6083
330,全然,0.0003791,56.6462
331,家族,0.00037889,56.6841
332,体,0.00037734,56.7218
333,だったら,0.00037713,56.7596
334,さあ,0.0003769,56.7973
335,だれか,0.00037655,56.8349
336,渡す,0.00037402,56.8723
337,心,0.00037385,56.9097
338,者,0.00037347,56.947
339,焚く,0.00037335,56.9844
340,どうも,0.0003725,57.0216
341,気持ち,0.00037086,57.0587
342,手,0.00037065,57.0958
343,これから,0.00037036,57.1328
344,負う,0.00037021,57.1698
345,餡,0.00036918,57.2068
346,これで,0.00036857,57.2436
347,常,0.00036745,57.2804
348,なぜ,0.00036733,57.3171
349,助ける,0.00036555,57.3536
350,電話,0.00036546,57.3902
351,忘れる,0.00036505,57.4267
352,呼ぶ,0.00036481,57.4632
353,殿,0.00036455,57.4996
354,なあ,0.00036232,57.5359
355,名前,0.00036097,57.572
356,いつも,0.00036026,57.608
357,ですから,0.00035944,57.6439
358,区,0.00035577,57.6795
359,光,0.00035478,57.715
360,かもしれない,0.00035387,57.7504
361,陽,0.00035346,57.7857
362,次,0.00035214,57.8209
363,入れる,0.00035214,57.8561
364,一番,0.0003509,57.8912
365,鳴く,0.00035088,57.9263
366,守る,0.0003487,57.9612
367,まさか,0.00034821,57.996
368,だが,0.00034621,58.0306
369,御免なさい,0.00034492,58.0651
370,逃げる,0.00034401,58.0995
371,相手,0.00034298,58.1338
372,お願い,0.00034216,58.168
373,陽に,0.00034087,58.2021
374,かも,0.00034081,58.2362
375,そうか,0.00033984,58.2702
376,なきゃ,0.00033949,58.3041
377,しか,0.00033885,58.338
378,韃靼,0.00033755,58.3718
379,大事,0.00033547,58.4053
380,茶,0.00033494,58.4388
381,いいです,0.00033471,58.4723
382,１人,0.00033354,58.5056
383,私たち,0.00033198,58.5388
384,問題,0.00033142,58.572
385,見せる,0.00033136,58.6051
386,幸せ,0.00032846,58.638
387,以上,0.0003274,58.6707
388,大変,0.00032676,58.7034
389,友達,0.00032635,58.736
390,少し,0.00032459,58.7685
391,絶対,0.00032327,58.8008
392,など,0.00032233,58.833
393,部屋,0.00032092,58.8651
394,っす,0.00031951,58.8971
395,男性,0.00031898,58.929
396,ために,0.00031869,58.9608
397,生む,0.0003179,58.9926
398,鼻,0.00031781,59.0244
