rank,kanji,weighted_freq,weighted_freq_pct,cum_pct,word_count
150,頼,0.000694,0.1625,59.0233,4
151,買,0.000693,0.1622,59.1855,2
152,決,0.000693,0.1622,59.3476,4
153,戻,0.000691,0.1617,59.5094,4
154,力,0.000685,0.1603,59.6697,5
155,張,0.000684,0.1601,59.8298,5
156,笑,0.000680,0.1592,59.9890,4
157,婚,0.000678,0.1587,60.1477,4
158,診,0.000676,0.1583,60.3060,1
159,必,0.000674,0.1577,60.4637,3
160,警,0.000668,0.1564,60.6201,5
161,我,0.000664,0.1555,60.7756,6
162,真,0.000658,0.1540,60.9297,8
163,算,0.000655,0.1534,61.0831,1
164,愛,0.000651,0.1525,61.2356,5
165,取,0.000650,0.1522,61.3878,6
166,楽,0.000639,0.1496,61.5374,5
167,犯,0.000639,0.1496,61.6870,4
168,痛,0.000638,0.1493,61.8363,4
169,動,0.000625,0.1464,61.9828,6
170,開,0.000624,0.1461,62.1289,5
171,世,0.000624,0.1461,62.2750,6
172,近,0.000622,0.1456,62.4205,6
173,高,0.000617,0.1445,62.5651,6
174,渡,0.000613,0.1436,62.7087,2
175,馬,0.000612,0.1433,62.8519,4
176,礼,0.000610,0.1428,62.9948,2
177,学,0.000609,0.1427,63.1375,6
178,羅,0.000608,0.1424,63.2799,1
179,湧,0.000606,0.1419,63.4218,1
180,可,0.000599,0.1403,63.5621,5
181,初,0.000599,0.1402,63.7023,3
182,勝,0.000593,0.1389,63.8411,4
183,得,0.000590,0.1381,63.9792,4
184,顔,0.000588,0.1377,64.1169,2
185,酔,0.000587,0.1374,64.2543,1
186,感,0.000583,0.1365,64.3908,3
187,切,0.000581,0.1361,64.5269,5
188,名,0.000576,0.1349,64.6618,3
189,驢,0.000574,0.1343,64.7962,1
190,素,0.000573,0.1342,64.9304,5
191,使,0.000566,0.1325,65.0629,1
192,供,0.000566,0.1324,65.1953,3
193,以,0.000555,0.1300,65.3252,4
194,跡,0.000555,0.1299,65.4551,2
195,諸,0.000554,0.1296,65.5848,1
196,欲,0.000553,0.1294,65.7142,1
197,文,0.000548,0.1283,65.8425,4
198,終,0.000546,0.1279,65.9704,2
199,飲,0.000542,0.1268,66.0972,2
200,捕,0.000533,0.1248,66.2220,3
201,番,0.000532,0.1245,66.3465,3
202,所,0.000528,0.1237,66.4703,5
203,少,0.000528,0.1237,66.5940,4
204,問,0.000528,0.1235,66.7175,3
205,助,0.000527,0.1234,66.8409,3
206,申,0.000527,0.1233,66.9643,6
207,澄,0.000525,0.1229,67.0871,1
208,用,0.000522,0.1221,67.2092,5
209,連,0.000515,0.1206,67.3298,4
210,絶,0.000514,0.1203,67.4501,2
211,係,0.000511,0.1195,67.5697,4
212,野,0.000507,0.1187,67.6883,5
213,始,0.000507,0.1186,67.8069,3
214,区,0.000505,0.1183,67.9253,2
215,背,0.000505,0.1182,68.0434,2
216,察,0.000504,0.1180,68.1614,2
217,残,0.000503,0.1178,68.2792,3
218,婬,0.000503,0.1176,68.3968,1
219,員,0.000497,0.1163,68.5131,6
220,白,0.000495,0.1158,68.6289,4
221,溜,0.000494,0.1157,68.7447,2
222,太,0.000491,0.1150,68.8597,5
223,兄,0.000491,0.1149,68.9745,6
224,他,0.000489,0.1146,69.0891,4
225,万,0.000489,0.1146,69.2037,2
226,嘘,0.000489,0.1144,69.3181,1
227,強,0.000486,0.1139,69.4320,3
228,屋,0.000485,0.1135,69.5454,3
229,落,0.000481,0.1126,69.6580,3
230,息,0.000476,0.1114,69.7694,4
231,校,0.000474,0.1110,69.8804,4
232,呼,0.000466,0.1091,69.9895,2
233,関,0.000464,0.1085,70.0980,3
234,山,0.000462,0.1082,70.2061,6
235,足,0.000460,0.1078,70.3139,5
236,座,0.000456,0.1068,70.4208,4
237,新,0.000455,0.1064,70.5272,5
238,電,0.000455,0.1064,70.6336,2
239,命,0.000454,0.1062,70.7398,4
240,光,0.000453,0.1060,70.8458,2
241,起,0.000452,0.1059,70.9517,3
242,配,0.000451,0.1057,71.0574,2
243,朝,0.000451,0.1055,71.1629,3
244,疲,0.000451,0.1055,71.2684,2
245,鹿,0.000450,0.1053,71.3737,1
246,藤,0.000450,0.1053,71.4790,8
247,調,0.000448,0.1049,71.5839,3
248,面,0.000447,0.1047,71.6886,4
249,点,0.000447,0.1047,71.7933,3
250,消,0.000446,0.1044,71.8977,3
251,夜,0.000445,0.1043,72.0020,3
252,異,0.000443,0.1037,72.1057,3
253,現,0.000442,0.1036,72.2092,4
254,画,0.000441,0.1032,72.3124,5
255,巣,0.000435,0.1019,72.4143,1
256,地,0.000435,0.1018,72.5161,6
257,捜,0.000432,0.1012,72.6173,2
258,急,0.000432,0.1011,72.7184,4
259,元,0.000425,0.0996,72.8179,2
260,続,0.000425,0.0994,72.9174,2
261,友,0.000425,0.0994,73.0168,3
262,直,0.000424,0.0993,73.1161,6
263,茶,0.000424,0.0992,73.2153,2
264,打,0.000423,0.0991,73.3144,2
265,戦,0.000421,0.0986,73.4130,4
266,査,0.000420,0.0984,73.5114,3
267,訓,0.000420,0.0982,73.6097,1
268,茣,0.000418,0.0979,73.7075,1
269,蓙,0.000418,0.0979,73.8054,1
270,物,0.000417,0.0977,73.9030,7
271,幸,0.000415,0.0972,74.0002,3
272,殿,0.000414,0.0969,74.0971,2
273,向,0.000413,0.0967,74.1938,5
274,去,0.000406,0.0951,74.2888,3
275,伝,0.000405,0.0947,74.3836,3
276,正,0.000404,0.0946,74.4782,6
277,守,0.000403,0.0942,74.5725,2
278,積,0.000400,0.0937,74.6661,1
279,著,0.000400,0.0936,74.7597,1
280,覚,0.000399,0.0935,74.8532,2
281,害,0.000397,0.0930,74.9463,3
282,泣,0.000397,0.0930,75.0393,2
283,次,0.000396,0.0927,75.1320,2
284,約,0.000396,0.0926,75.2246,4
285,火,0.000395,0.0924,75.3170,4
286,離,0.000393,0.0921,75.4092,4
287,二,0.000391,0.0915,75.5007,4
288,科,0.000387,0.0905,75.5912,2
289,解,0.000386,0.0905,75.6817,5
290,頑,0.000384,0.0898,75.7715,3
291,受,0.000382,0.0895,75.8610,3
292,乗,0.000382,0.0893,75.9503,2
293,族,0.000379,0.0887,76.0390,1
294,売,0.000377,0.0882,76.1273,3
295,底,0.000375,0.0878,76.2151,2
296,認,0.000375,0.0878,76.3028,2
297,焚,0.000373,0.0874,76.3902,1
298,安,0.000373,0.0873,76.4775,5
299,娘,0.000371,0.0869,76.5644,2
300,餡,0.000369,0.0864,76.6509,1
301,常,0.000367,0.0860,76.7369,1
302,奥,0.000366,0.0857,76.8226,3
303,忘,0.000365,0.0855,76.9081,1
304,代,0.000365,0.0854,76.9935,4
