rank,word,frequency,cum_pct,region
167,誰,0.00073904,48.3074,R1
168,ゆく,0.00073672,48.3811,R1
169,帰る,0.00073564,48.4546,R1
170,女,0.00071862,48.5265,R1
171,食べる,0.00071733,48.5982,R1
172,なんか,0.00071657,48.6699,R1
173,あんた,0.00071448,48.7413,R1
174,家,0.00071363,48.8127,R1
175,みて,0.00070735,48.8834,R1
176,門,0.00070665,48.9541,R1
177,だけど,0.00069805,49.0239,R1
178,ごめん,0.00069075,49.0930,R1
179,本,0.00069063,49.1621,R1
180,一緒に,0.00068682,49.2307,R1
181,として,0.00068661,49.2994,R1
182,今日,0.00068385,49.3678,R1
183,診る,0.00067634,49.4354,R1
184,然う言う,0.00067080,49.5025,R1
185,なんです,0.00067030,49.5695,R1
186,彼女,0.00066208,49.6357,R1
187,算賀,0.00065531,49.7013,R1
188,買う,0.00065225,49.7665,R1
189,ほら,0.00064439,49.8309,R1
190,これは,0.00064339,49.8953,R1
191,作る,0.00064204,49.9595,R1
192,持つ,0.00063521,50.0230,R1
193,よかった,0.00063424,50.0864,R1
194,負,0.00061901,50.1483,R1
195,どうして,0.00061699,50.2100,R1
196,こんにちは,0.00061537,50.2716,R1
197,話す,0.00061376,50.3329,R1
198,羅,0.00060836,50.3938,R1
199,生きる,0.00060739,50.4545,R1
200,湧く,0.00060601,50.5151,R1
201,折る,0.00060399,50.5755,R1
202,どうぞ,0.00060158,50.6357,R1
203,やる,0.00059313,50.6950,R1
204,お母さん,0.00059140,50.7541,R1
205,魔,0.00058774,50.8129,R1
206,酔う,0.00058709,50.8716,R1
207,より,0.00058410,50.9300,R1
208,声,0.00058404,50.9884,R1
209,早く,0.00058251,51.0467,R1
210,そうです,0.00057955,51.1046,R1
211,ただ,0.00057899,51.1625,R1
212,んで,0.00057653,51.2202,R1
213,ちゃんと,0.00057576,51.2777,R1
214,にする,0.00057433,51.3352,R1
215,驢,0.00057380,51.3926,R1
216,それが,0.00056858,51.4494,R1
217,お父さん,0.00056814,51.5062,R1
218,使う,0.00056579,51.5628,R1
219,よく,0.00056283,51.6191,R1
220,お願いします,0.00055966,51.6751,R1
221,時間,0.00055951,51.7310,R1
222,こっち,0.00055854,51.7869,R1
223,失礼,0.00055848,51.8427,R1
224,事件,0.00055725,51.8984,R1
225,諸,0.00055376,51.9538,R1
226,欲しい,0.00055288,52.0091,R1
227,目,0.00054150,52.0633,R1
228,それで,0.00053930,52.1172,R1
229,多い,0.00053378,52.1706,R1
230,やっぱり,0.00053319,52.2239,R1
231,でしょう,0.00052958,52.2768,R1
232,やつ,0.00052917,52.3298,R1
233,同じ,0.00052730,52.3825,R1
234,澄む,0.00052480,52.4350,R1
235,人間,0.00052333,52.4873,R1
236,あい,0.00052237,52.5395,R1
237,ありがとうございます,0.00052081,52.5916,R1
238,頼む,0.00051779,52.6434,R1
239,分,0.00051301,52.6947,R1
240,ずっと,0.00050872,52.7456,R1
241,ないです,0.00050652,52.7962,R1
242,終わる,0.00050377,52.8466,R1
243,跡,0.00050371,52.8970,R1
244,婬,0.00050250,52.9472,R1
245,よし,0.00049998,52.9972,R1
246,個個に,0.00049725,53.0469,R1
247,顔,0.00049358,53.0963,R1
248,前に,0.00049297,53.1456,R1
249,じゃん,0.00049291,53.1949,R1
250,嘘,0.00048866,53.2438,R1
251,彼,0.00048578,53.2923,R1
252,だろう,0.00048202,53.3405,R1
253,無理,0.00047566,53.3881,R1
254,社長,0.00047020,53.4351,R1
255,どういう,0.00046885,53.4820,R1
256,ところ,0.00046853,53.5289,R1
257,戻る,0.00046741,53.5756,R1
258,になる,0.00046471,53.6221,R1
259,結婚,0.00046460,53.6685,R1
260,何も,0.00046307,53.7148,R1
261,背,0.00046190,53.7610,R1
262,本当,0.00045615,53.8066,R1
263,確か,0.00045315,53.8520,R1
264,子供,0.00045019,53.8970,R1
265,馬鹿,0.00044984,53.9420,R1
266,一,0.00044981,53.9869,R1
267,ありません,0.00044890,54.0318,R1
268,そして,0.00044840,54.0767,R1
269,犯人,0.00044729,54.1214,R1
270,あいつ,0.00044553,54.1660,R1
271,いえ,0.00044330,54.2103,R1
272,もっと,0.00044198,54.2545,R1
273,やった,0.00044148,54.2986,R1
274,痛い,0.00043743,54.3424,R1
275,一同,0.00043740,54.3861,R1
276,溜める,0.00043740,54.4298,R1
277,無くなる,0.00043523,54.4734,R1
278,巣,0.00043508,54.5169,R1
279,明日,0.00043508,54.5604,R1
280,感じる,0.00043285,54.6037,R1
281,すごい,0.00043267,54.6469,R1
282,飲む,0.00043150,54.6901,R1
283,警察,0.00043118,54.7332,R1
284,得る,0.00043030,54.7762,R1
285,医院,0.00043003,54.8192,R1
286,なかった,0.00042986,54.8622,R1
287,日,0.00042948,54.9052,R1
288,ママ,0.00042848,54.9480,R1
289,ですが,0.00042695,54.9907,R1
290,会社,0.00042516,55.0332,R1
291,のです,0.00042431,55.0757,R1
292,あります,0.00042349,55.1180,R1
293,こちら,0.00042299,55.1603,R1
294,ことは,0.00042217,55.2025,R1
295,力,0.00042208,55.2447,R2
296,たの,0.00042050,55.2868,R2
297,教える,0.00041959,55.3287,R2
298,訓,0.00041953,55.3707,R2
299,茣蓙,0.00041800,55.4125,R2
300,しかし,0.00041601,55.4541,R2
301,女性,0.00041454,55.4956,R2
302,度,0.00041437,55.5370,R2
303,書く,0.00041152,55.5781,R2
304,じゃないか,0.00041079,55.6192,R2
305,全て,0.00041055,55.6603,R2
306,金,0.00040917,55.7012,R2
307,ウッ,0.00040718,55.7419,R2
308,信じる,0.00040580,55.7825,R2
309,見える,0.00040568,55.8231,R2
